"user_id","board_id","role"
"1a847942-50e1-4229-bfb4-8f1737a3347e","7","1"
"1a847942-50e1-4229-bfb4-8f1737a3347e","8","1"
"1a847942-50e1-4229-bfb4-8f1737a3347e","9","1"
"1a847942-50e1-4229-bfb4-8f1737a3347e","10","1"
"1a847942-50e1-4229-bfb4-8f1737a3347e","11","1"
"1a847942-50e1-4229-bfb4-8f1737a3347e","12","1"
"1a847942-50e1-4229-bfb4-8f1737a3347e","13","1"
"1a847942-50e1-4229-bfb4-8f1737a3347e","14","1"
"1a847942-50e1-4229-bfb4-8f1737a3347e","15","1"
"1a847942-50e1-4229-bfb4-8f1737a3347e","16","3"
"1a847942-50e1-4229-bfb4-8f1737a3347e","17","2"
"1a847942-50e1-4229-bfb4-8f1737a3347e","18","2"
"1a847942-50e1-4229-bfb4-8f1737a3347e","19","2"
"1a847942-50e1-4229-bfb4-8f1737a3347e","20","2"
"1a847942-50e1-4229-bfb4-8f1737a3347e","21","2"
"1a847942-50e1-4229-bfb4-8f1737a3347e","22","2"
"1a847942-50e1-4229-bfb4-8f1737a3347e","23","3"
"1a847942-50e1-4229-bfb4-8f1737a3347e","24","3"
"1a847942-50e1-4229-bfb4-8f1737a3347e","25","3"
"1a847942-50e1-4229-bfb4-8f1737a3347e","26","3"
"1a847942-50e1-4229-bfb4-8f1737a3347e","27","3"
"1a847942-50e1-4229-bfb4-8f1737a3347e","28","3"
"1a847942-50e1-4229-bfb4-8f1737a3347e","29","3"
"1a847942-50e1-4229-bfb4-8f1737a3347e","30","3"
"82eac3a0-5978-4259-8638-dff638707c00","1","3"
"82eac3a0-5978-4259-8638-dff638707c00","2","3"
"82eac3a0-5978-4259-8638-dff638707c00","3","3"
"82eac3a0-5978-4259-8638-dff638707c00","4","3"
"82eac3a0-5978-4259-8638-dff638707c00","5","3"
"82eac3a0-5978-4259-8638-dff638707c00","6","3"
"82eac3a0-5978-4259-8638-dff638707c00","7","3"
"82eac3a0-5978-4259-8638-dff638707c00","8","3"
"82eac3a0-5978-4259-8638-dff638707c00","9","3"
"82eac3a0-5978-4259-8638-dff638707c00","10","3"
"82eac3a0-5978-4259-8638-dff638707c00","11","3"
"82eac3a0-5978-4259-8638-dff638707c00","12","3"
"82eac3a0-5978-4259-8638-dff638707c00","13","3"
"82eac3a0-5978-4259-8638-dff638707c00","14","3"
"82eac3a0-5978-4259-8638-dff638707c00","15","3"
"82eac3a0-5978-4259-8638-dff638707c00","16","1"
"82eac3a0-5978-4259-8638-dff638707c00","17","1"
"82eac3a0-5978-4259-8638-dff638707c00","18","1"
"82eac3a0-5978-4259-8638-dff638707c00","19","1"
"82eac3a0-5978-4259-8638-dff638707c00","20","1"
"82eac3a0-5978-4259-8638-dff638707c00","21","1"
"82eac3a0-5978-4259-8638-dff638707c00","22","1"
"82eac3a0-5978-4259-8638-dff638707c00","23","1"
"82eac3a0-5978-4259-8638-dff638707c00","24","1"
"82eac3a0-5978-4259-8638-dff638707c00","25","1"
"82eac3a0-5978-4259-8638-dff638707c00","26","1"
"82eac3a0-5978-4259-8638-dff638707c00","27","1"
"82eac3a0-5978-4259-8638-dff638707c00","28","1"
"82eac3a0-5978-4259-8638-dff638707c00","29","1"
"82eac3a0-5978-4259-8638-dff638707c00","30","1"

